m,n,k,transa,transb,dev_time,host_time,tot,dma,issue,compute
512,512,512,False,True,3.7189799999996467,51.312112000001434,20566760,412804,121517,19591529
512,512,512,False,True,2.4813890000004903,52.646630999999616,20538332,412533,120675,19560571
512,512,512,False,True,3.6363729999993666,51.45625699999982,20557145,412630,121495,19576994
512,512,512,False,True,2.4012779999993654,50.57727300000079,20531216,412718,121023,19555407
1024,1024,1024,False,True,20.198421000000963,410.00168699999995,162246142,1731608,431680,156896765
1024,1024,1024,False,True,17.086927000000287,407.1074090000002,162220544,1732365,430155,156870016
1024,1024,1024,False,True,17.110771999999997,407.0368159999998,162193313,1731467,431440,156840036
1024,1024,1024,False,True,12.33328800000163,404.6130429999994,162227371,1733281,433220,156878738
1024,1024,1024,False,True,17.10170499999913,407.42783899999995,162178748,1732521,431066,156836300
1024,1024,1024,False,True,12.205159999999523,403.78157699999974,162219826,1732397,429168,156868545
1024,1024,1024,False,True,17.347101999999722,411.7993260000003,162229901,1733175,429923,156885316
1024,1024,1024,False,True,12.41973599999983,415.89283799999976,162179504,1731250,428155,156836508
1024,1024,1024,False,True,17.34069200000158,418.1609410000001,162199613,1731251,429068,156854791
1024,1024,1024,False,True,12.342674999999872,414.36432199999945,162256045,1731594,431075,156911367
